obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('0',)",31.4258003235,1,0,1039.79213798,29,13,3,3.14258003235,29,13,3773775695.89,3773776857.11,3744144114.88,45.82972,-129.75904,0.0,34.6327365372,29,29,internal_timestamp,2634.22998047,29,29,875966,1535155314,1.80369997025,29,29,3744144114.88
"('1',)",31.4258995056,1,0,1039.79199679,29,13,3,3.14258995056,29,13,3773775695.89,3773776857.11,3744144115.86,45.82972,-129.75904,0.0,34.6326499215,29,29,internal_timestamp,2634.2199707,29,29,859547,1535155315,1.80390000343,29,29,3744144115.86
"('2',)",31.425699234,1,0,1039.79170672,29,13,3,3.1425699234,29,13,3773775695.89,3773776857.11,3744144116.85,45.82972,-129.75904,0.0,34.6322972818,29,29,internal_timestamp,2634.2199707,29,29,853668,1535155316,1.80400002003,29,29,3744144116.85
"('3',)",31.425699234,1,0,1039.79186134,29,13,3,3.1425699234,29,13,3773775695.89,3773776857.11,3744144117.86,45.82972,-129.75904,0.0,34.6325151742,29,29,internal_timestamp,2634.20996094,29,29,858322,1535155317,1.80379998684,29,29,3744144117.86
"('4',)",31.4256000519,1,0,1039.7917661,29,13,3,3.14256000519,29,13,3773775695.89,3773776857.11,3744144118.86,45.82972,-129.75904,0.0,34.6323933205,29,29,internal_timestamp,2634.20996094,29,29,862557,1535155318,1.80379998684,29,29,3744144118.86
"('5',)",31.425699234,1,0,1039.79176358,29,13,3,3.1425699234,29,13,3773775695.89,3773776857.11,3744144119.86,45.82972,-129.75904,0.0,34.6324085839,29,29,internal_timestamp,2634.20996094,29,29,858322,1535155319,1.80390000343,29,29,3744144119.86
"('6',)",31.425699234,1,0,1039.79235902,29,13,3,3.1425699234,29,13,3773775695.89,3773776857.11,3744144120.86,45.82972,-129.75904,0.0,34.632811258,29,29,internal_timestamp,2634.26000977,29,29,861401,1535155320,1.80350005627,29,29,3744144120.86
"('7',)",31.4258003235,1,0,1039.79213798,29,13,3,3.14258003235,29,13,3773775695.89,3773776857.11,3744144121.86,45.82972,-129.75904,0.0,34.6327365372,29,29,internal_timestamp,2634.22998047,29,29,855959,1535155321,1.80369997025,29,29,3744144121.86
"('8',)",31.425699234,1,0,1039.79192718,29,13,3,3.1425699234,29,13,3773775695.89,3773776857.11,3744144122.86,45.82972,-129.75904,0.0,34.6323897341,29,29,internal_timestamp,2634.25,29,29,859631,1535155322,1.80390000343,29,29,3744144122.86
"('9',)",31.425699234,1,0,1039.79170672,29,13,3,3.1425699234,29,13,3773775695.89,3773776857.11,3744144123.86,45.82972,-129.75904,0.0,34.6322972818,29,29,internal_timestamp,2634.2199707,29,29,863489,1535155323,1.80400002003,29,29,3744144123.86
"('10',)",31.4258003235,1,0,1039.79202426,29,13,3,3.14258003235,29,13,3773775695.89,3773776857.11,3744144124.86,45.82972,-129.75904,0.0,34.6325139307,29,29,internal_timestamp,2634.25,29,29,857920,1535155324,1.80390000343,29,29,3744144124.86
"('11',)",31.4258995056,1,0,1039.79219232,29,13,3,3.14258995056,29,13,3773775695.89,3773776857.11,3744144125.86,45.82972,-129.75904,0.0,34.6328631039,29,29,internal_timestamp,2634.2199707,29,29,861669,1535155325,1.80369997025,29,29,3744144125.86
"('12',)",31.425699234,1,0,1039.79192718,29,13,3,3.1425699234,29,13,3773775695.89,3773776857.11,3744144126.86,45.82972,-129.75904,0.0,34.6323897341,29,29,internal_timestamp,2634.25,29,29,856286,1535155326,1.80390000343,29,29,3744144126.86
"('13',)",31.4258003235,1,0,1039.79190155,29,13,3,3.14258003235,29,13,3773775695.89,3773776857.11,3744144127.86,45.82972,-129.75904,0.0,34.6325280681,29,29,internal_timestamp,2634.2199707,29,29,859755,1535155327,1.80390000343,29,29,3744144127.86
"('14',)",31.425699234,1,0,1039.79186134,29,13,3,3.1425699234,29,13,3773775695.89,3773776857.11,3744144128.85,45.82972,-129.75904,0.0,34.6325151742,29,29,internal_timestamp,2634.20996094,29,29,853633,1535155328,1.80379998684,29,29,3744144128.85
"('15',)",31.425699234,1,0,1039.79143636,29,13,3,3.1425699234,29,13,3773775695.89,3773776857.11,3744144129.86,45.82972,-129.75904,0.0,34.6324462839,29,29,internal_timestamp,2634.12988281,29,29,858332,1535155329,1.80390000343,29,29,3744144129.86
"('16',)",31.4258003235,1,0,1039.79166411,29,13,3,3.14258003235,29,13,3773775695.89,3773776857.12,3744144130.86,45.82972,-129.75904,0.0,34.6329089902,29,29,internal_timestamp,2634.09008789,29,29,862296,1535155330,1.80359995365,29,29,3744144130.86
"('17',)",31.425699234,1,0,1039.79075799,29,13,3,3.1425699234,29,13,3773775695.89,3773776857.12,3744144131.86,45.82972,-129.75904,0.0,34.6326422985,29,29,internal_timestamp,2633.93994141,29,29,856177,1535155331,1.80379998684,29,29,3744144131.86
"('18',)",31.425699234,1,0,1039.79056134,29,13,3,3.1425699234,29,13,3773775695.89,3773776857.12,3744144132.86,45.82972,-129.75904,0.0,34.6330183852,29,29,internal_timestamp,2633.82006836,29,29,860431,1535155332,1.80350005627,29,29,3744144132.86
"('19',)",31.4253997803,1,0,1039.78922043,29,13,3,3.14253997803,29,13,3773775695.89,3773776857.12,3744144133.85,45.82972,-129.75904,0.0,34.6325362724,29,29,internal_timestamp,2633.61010742,29,29,854499,1535155333,1.80369997025,29,29,3744144133.85
"('20',)",31.4255008698,1,0,1039.78834484,29,13,3,3.14255008698,29,13,3773775695.89,3773776857.12,3744144134.86,45.82972,-129.75904,0.0,34.6325368305,29,29,internal_timestamp,2633.41992188,29,29,859678,1535155334,1.80390000343,29,29,3744144134.86
"('21',)",31.4253005981,1,0,1039.78754695,29,13,3,3.14253005981,29,13,3773775695.89,3773776857.12,3744144135.86,45.82972,-129.75904,0.0,34.6327141215,29,29,internal_timestamp,2633.19995117,29,29,863401,1535155335,1.80359995365,29,29,3744144135.86
"('22',)",31.4251995087,1,0,1039.78629864,29,13,3,3.14251995087,29,13,3773775695.89,3773776857.12,3744144136.86,45.82972,-129.75904,0.0,34.6323690045,29,29,internal_timestamp,2632.98999023,29,29,859416,1535155336,1.80390000343,29,29,3744144136.86
"('23',)",31.4253005981,1,0,1039.78556968,29,13,3,3.14253005981,29,13,3773775695.89,3773776857.12,3744144137.86,45.82972,-129.75904,0.0,34.6328240989,29,29,internal_timestamp,2632.73999023,29,29,862198,1535155337,1.80369997025,29,29,3744144137.86
"('24',)",31.4249000549,1,0,1039.78420437,29,13,3,3.14249000549,29,13,3773775695.89,3773776857.12,3744144138.86,45.82972,-129.75904,0.0,34.6324449896,29,29,internal_timestamp,2632.5,29,29,856889,1535155338,1.80369997025,29,29,3744144138.86
"('25',)",31.4249992371,1,0,1039.78331895,29,13,3,3.14249992371,29,13,3773775695.89,3773776857.12,3744144139.86,45.82972,-129.75904,0.0,34.6326798488,29,29,internal_timestamp,2632.26000977,29,29,861102,1535155339,1.80369997025,29,29,3744144139.86
"('26',)",31.4249000549,1,0,1039.78240664,29,13,3,3.14249000549,29,13,3773775695.89,3773776857.12,3744144140.86,45.82972,-129.75904,0.0,34.6326521444,29,29,internal_timestamp,2632.06005859,29,29,855437,1535155340,1.80369997025,29,29,3744144140.86
"('27',)",31.4244995117,1,0,1039.78111401,29,29,3,3.14244995117,29,13,3773775695.89,3773776857.12,3744144141.86,45.82972,-129.75904,0.0,34.6325002378,29,29,internal_timestamp,2631.79003906,29,29,859815,1535155341,1.80350005627,29,29,3744144141.86
"('28',)",31.4244003296,1,0,1039.78007899,29,29,3,3.14244003296,29,13,3773775695.89,3773776857.12,3744144142.85,45.82972,-129.75904,0.0,34.6324866769,29,29,internal_timestamp,2631.56005859,29,29,853871,1535155342,1.80350005627,29,29,3744144142.85
"('29',)",31.4244995117,1,0,1039.77902994,29,29,3,3.14244995117,29,13,3773775695.89,3773776857.12,3744144143.86,45.82972,-129.75904,0.0,34.6327404026,29,29,internal_timestamp,2631.2800293,29,29,858742,1535155343,1.80350005627,29,29,3744144143.86
"('30',)",31.4244995117,1,0,1039.77769023,29,29,3,3.14244995117,29,13,3773775695.89,3773776857.12,3744144144.86,45.82972,-129.75904,0.0,34.6326592108,29,29,internal_timestamp,2631.0,29,29,863529,1535155344,1.80369997025,29,29,3744144144.86
"('31',)",31.4244003296,1,0,1039.7766143,29,29,3,3.14244003296,29,13,3773775695.89,3773776857.12,3744144145.86,45.82972,-129.75904,0.0,34.6326503706,29,29,internal_timestamp,2630.76000977,29,29,857359,1535155345,1.80369997025,29,29,3744144145.86
"('32',)",31.4241008759,1,0,1039.77536198,29,29,3,3.14241008759,29,13,3773775695.89,3773776857.12,3744144146.86,45.82972,-129.75904,0.0,34.6325114949,29,29,internal_timestamp,2630.5,29,29,862763,1535155346,1.80359995365,29,29,3744144146.86
"('33',)",31.4239006042,1,0,1039.77400938,29,29,3,3.14239006042,29,13,3773775695.89,3773776857.12,3744144147.86,45.82972,-129.75904,0.0,34.6322812898,29,29,internal_timestamp,2630.23999023,29,29,857202,1535155347,1.80369997025,29,29,3744144147.86
"('34',)",31.4239997864,1,0,1039.77337618,29,29,3,3.14239997864,29,13,3773775695.89,3773776857.12,3744144148.86,45.82972,-129.75904,0.0,34.6328405481,29,29,internal_timestamp,2629.98999023,29,29,861866,1535155348,1.80340003967,29,29,3744144148.86
"('35',)",31.4237003326,1,0,1039.77194428,29,29,3,3.14237003326,29,13,3773775695.89,3773776857.12,3744144149.86,45.82972,-129.75904,0.0,34.6326045101,29,29,internal_timestamp,2629.70996094,29,29,855857,1535155349,1.80340003967,29,29,3744144149.86
"('36',)",31.423500061,1,0,1039.77064852,29,29,3,3.1423500061,29,13,3773775695.89,3773776857.12,3744144150.86,45.82972,-129.75904,0.0,34.6324856199,29,29,internal_timestamp,2629.43994141,29,29,860557,1535155350,1.80340003967,29,29,3744144150.86
"('37',)",31.4234008789,1,0,1039.76917263,29,29,3,3.14234008789,29,13,3773775695.89,3773776857.12,3744144151.85,45.82972,-129.75904,0.0,34.6322872998,29,29,internal_timestamp,2629.14990234,29,29,854939,1535155351,1.80359995365,29,29,3744144151.85
"('38',)",31.423500061,1,0,1039.76800984,29,29,3,3.1423500061,29,13,3773775695.89,3773776857.12,3744144152.86,45.82972,-129.75904,0.0,34.6323184319,29,29,internal_timestamp,2628.88989258,29,29,860193,1535155352,1.80379998684,29,29,3744144152.86
"('39',)",31.4232997894,1,0,1039.76716283,29,29,3,3.14232997894,29,13,3773775695.89,3773776857.12,3744144153.86,45.82972,-129.75904,0.0,34.6327370064,29,29,internal_timestamp,2628.61010742,29,29,864868,1535155353,1.80330002308,29,29,3744144153.86
"('40',)",31.4230995178,1,0,1039.76553299,29,29,3,3.14230995178,29,13,3773775695.89,3773776857.12,3744144154.86,45.82972,-129.75904,0.0,34.6323031753,29,29,internal_timestamp,2628.33007812,29,29,858905,1535155354,1.80359995365,29,29,3744144154.86
"('41',)",31.4230995178,1,0,1039.7644136,29,29,3,3.14230995178,29,13,3773775695.89,3773776857.12,3744144155.86,45.82972,-129.75904,0.0,34.6323143359,29,29,internal_timestamp,2628.08007812,29,29,864058,1535155355,1.80369997025,29,29,3744144155.86
