obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('0',)",31.427400589,1,0,1039.81455541,29,29,4,3.1427400589,29,13,3788037853.34,3788037853.4,3787992101.88,45.82972,-129.75904,0.0,34.617574513,29,29,internal_timestamp,2642.33007812,29,29,882386,1579003301,1.81620001793,29,29,3787992101.88
"('1',)",31.4260997772,1,0,1039.80034603,29,29,4,3.14260997772,29,13,3788037853.34,3788037853.4,3787992121.88,45.82972,-129.75904,0.0,34.6177041291,29,29,internal_timestamp,2639.11010742,29,29,876252,1579003321,1.81599998474,29,29,3787992121.88
"('2',)",31.4239006042,1,0,1039.77581956,29,29,4,3.14239006042,29,13,3788037853.34,3788037853.4,3787992141.87,45.82972,-129.75904,0.0,34.6171126323,29,29,internal_timestamp,2633.7199707,29,29,872684,1579003341,1.81640005112,29,29,3787992141.87
"('3',)",31.4214000702,1,0,1039.75170934,29,29,4,3.14214000702,29,13,3788037853.34,3788037853.4,3787992161.88,45.82972,-129.75904,0.0,34.6173659331,29,29,internal_timestamp,2628.23999023,29,29,878558,1579003361,1.81570005417,29,29,3787992161.88
"('4',)",31.418800354,1,0,1039.72662926,29,29,4,3.1418800354,29,13,3788037853.34,3788037853.4,3787992181.88,45.82972,-129.75904,0.0,34.6168924229,29,29,internal_timestamp,2622.68994141,29,29,875992,1579003381,1.81560003757,29,29,3787992181.88
"('5',)",31.4172992706,1,0,1039.70202496,29,29,4,3.14172992706,29,13,3788037853.34,3788037853.4,3787992201.88,45.82972,-129.75904,0.0,34.6168936449,29,29,internal_timestamp,2617.18994141,29,29,882341,1579003401,1.81630003452,29,29,3787992201.88
"('6',)",31.4148006439,1,0,1039.67745358,29,29,4,3.14148006439,29,13,3788037853.34,3788037853.4,3787992221.87,45.82972,-129.75904,0.0,34.6168518788,29,29,internal_timestamp,2611.66992188,29,29,870554,1579003421,1.81589996815,29,29,3787992221.87
"('7',)",31.4097995758,1,0,1039.6286279,29,29,4,3.14097995758,29,13,3788037853.34,3788037853.4,3787992261.87,45.82972,-129.75904,0.0,34.6167289662,29,29,internal_timestamp,2600.70996094,29,29,870505,1579003461,1.81509995461,29,29,3787992261.87
"('8',)",31.4076004028,1,0,1039.60431529,29,29,4,3.14076004028,29,13,3788037853.34,3788037853.4,3787992281.88,45.82972,-129.75904,0.0,34.6165895254,29,29,internal_timestamp,2595.2800293,29,29,879891,1579003481,1.81509995461,29,29,3787992281.88
"('9',)",31.4051990509,1,0,1039.57982866,29,29,4,3.14051990509,29,13,3788037853.34,3788037853.4,3787992301.88,45.82972,-129.75904,0.0,34.6166713944,29,29,internal_timestamp,2589.76000977,29,29,875988,1579003501,1.81470000744,29,29,3787992301.88
