obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('0',)",33.028301239,1,0,1029.63908964,29,29,1,3.3028301239,29,13,3724598710.13,3724598710.3,3617697627.55,44.36831,-124.95276,0.0,34.1430295843,29,29,internal_timestamp,572.609985352,29,29,551959,1408708827,5.06449985504,29,29,3617697627.55
"('1',)",33.0290985107,1,0,1029.63117629,29,29,1,3.30290985107,29,13,3724598710.13,3724598710.3,3617697637.59,44.36831,-124.95276,0.0,34.14203983,29,29,internal_timestamp,571.130004883,29,29,591128,1408708837,5.06710004807,29,29,3617697637.59
"('2',)",33.0287017822,1,0,1029.62268645,29,29,1,3.30287017822,29,13,3724598710.13,3724598710.3,3617697646.55,44.36831,-124.95276,0.0,34.1422163556,29,29,internal_timestamp,569.260009766,29,29,553328,1408708846,5.06739997864,29,29,3617697646.55
"('3',)",33.0307006836,1,0,1029.61038951,29,29,1,3.30307006836,29,13,3724598710.13,3724598710.3,3617697657.58,44.36831,-124.95276,0.0,34.14258242,29,29,internal_timestamp,566.609985352,29,29,584877,1408708857,5.07060003281,29,29,3617697657.58
"('4',)",33.0293006897,1,0,1029.59877482,29,29,1,3.30293006897,29,13,3724598710.13,3724598710.3,3617697667.58,44.36831,-124.95276,0.0,34.141984998,29,29,internal_timestamp,564.190002441,29,29,583966,1408708867,5.07079982758,29,29,3617697667.58
"('5',)",33.0311012268,1,0,1029.58625408,29,29,1,3.30311012268,29,13,3724598710.13,3724598710.3,3617697677.58,44.36831,-124.95276,0.0,34.1405480143,29,29,internal_timestamp,561.840026855,29,29,584117,1408708877,5.07539987564,29,29,3617697677.58
"('6',)",33.0317001343,1,0,1029.57399414,29,29,1,3.30317001343,29,13,3724598710.13,3724598710.3,3617697687.57,44.36831,-124.95276,0.0,34.1397156046,29,29,internal_timestamp,559.390014648,29,29,566075,1408708887,5.07810020447,29,29,3617697687.57
"('7',)",33.0321006775,1,0,1029.56334046,29,29,1,3.30321006775,29,13,3724598710.13,3724598710.3,3617697697.65,44.36831,-124.95276,0.0,34.1392332139,29,29,internal_timestamp,557.210021973,29,29,645946,1408708897,5.08010005951,29,29,3617697697.65
"('8',)",33.03150177,1,0,1029.55425712,29,29,1,3.303150177,29,13,3724598710.13,3724598710.3,3617697707.59,44.36831,-124.95276,0.0,34.1383238527,29,29,internal_timestamp,555.41998291,29,29,586703,1408708907,5.08120012283,29,29,3617697707.59
"('9',)",33.0317001343,1,0,1029.54725241,29,29,1,3.30317001343,29,13,3724598710.13,3724598710.3,3617697717.59,44.36831,-124.95276,0.0,34.1388455579,29,29,internal_timestamp,553.820007324,29,29,587521,1408708917,5.08169984818,29,29,3617697717.59
"('10',)",33.0318984985,1,0,1029.53777693,29,29,1,3.30318984985,29,13,3724598710.13,3724598710.3,3617697727.59,44.36831,-124.95276,0.0,34.1381943309,29,29,internal_timestamp,551.91998291,29,29,588331,1408708927,5.08349990845,29,29,3617697727.59
"('11',)",33.0307998657,1,0,1029.52596189,29,29,1,3.30307998657,29,13,3724598710.13,3724598710.3,3617697737.59,44.36831,-124.95276,0.0,34.1378872997,29,29,internal_timestamp,549.409973145,29,29,589761,1408708937,5.08379983902,29,29,3617697737.59
"('12',)",33.0281982422,1,0,1029.51359936,29,29,1,3.30281982422,29,13,3724598710.13,3724598710.3,3617697747.58,44.36831,-124.95276,0.0,34.1369993429,29,29,internal_timestamp,546.849975586,29,29,581357,1408708947,5.08300018311,29,29,3617697747.58
"('13',)",33.026599884,1,0,1029.50251398,29,29,1,3.3026599884,29,13,3724598710.13,3724598710.3,3617697757.6,44.36831,-124.95276,0.0,34.1371066703,29,29,internal_timestamp,544.400024414,29,29,604938,1408708957,5.08230018616,29,29,3617697757.6
"('14',)",33.0250015259,1,0,1029.49257113,29,29,1,3.30250015259,29,13,3724598710.13,3724598710.3,3617697767.58,44.36831,-124.95276,0.0,34.1371906458,29,29,internal_timestamp,542.200012207,29,29,578470,1408708967,5.08150005341,29,29,3617697767.58
"('15',)",33.0228996277,1,0,1029.48091182,29,29,1,3.30228996277,29,13,3724598710.13,3724598710.3,3617697777.59,44.36831,-124.95276,0.0,34.1368473008,29,29,internal_timestamp,539.700012207,29,29,594412,1408708977,5.08069992065,29,29,3617697777.59
"('16',)",33.0209999084,1,0,1029.46890934,29,29,1,3.30209999084,29,13,3724598710.13,3724598710.3,3617697787.6,44.36831,-124.95276,0.0,34.1360086259,29,29,internal_timestamp,537.229980469,29,29,601331,1408708987,5.08059978485,29,29,3617697787.6
"('17',)",33.0211982727,1,0,1029.45822298,29,29,1,3.30211982727,29,13,3724598710.13,3724598710.3,3617697796.56,44.36831,-124.95276,0.0,34.1356155696,29,29,internal_timestamp,535.020019531,29,29,557588,1408708996,5.08230018616,29,29,3617697796.56
"('18',)",33.0209999084,1,0,1029.4445221,29,29,1,3.30209999084,29,13,3724598710.13,3724598710.3,3617697807.57,44.36831,-124.95276,0.0,34.1349727039,29,29,internal_timestamp,532.200012207,29,29,570513,1408709007,5.08409976959,29,29,3617697807.57
"('19',)",33.020401001,1,0,1029.43224351,29,29,1,3.3020401001,29,13,3724598710.13,3724598710.3,3617697817.62,44.36831,-124.95276,0.0,34.1344465951,29,29,internal_timestamp,529.650024414,29,29,618587,1408709017,5.08519983292,29,29,3617697817.62
"('20',)",33.0334014893,1,0,1029.41232667,29,29,1,3.30334014893,29,13,3724598710.13,3724598710.31,3617697827.6,44.36831,-124.95276,0.0,34.1273046709,29,29,internal_timestamp,527.179992676,29,29,596364,1408709027,5.10809993744,29,29,3617697827.6
"('21',)",33.0429000854,1,0,1029.39696825,29,29,1,3.30429000854,29,13,3724598710.13,3724598710.31,3617697837.6,44.36831,-124.95276,0.0,34.1241386868,29,29,internal_timestamp,524.799987793,29,29,599400,1408709037,5.12309980392,29,29,3617697837.6
"('22',)",33.0465011597,1,0,1029.38548025,29,29,1,3.30465011597,29,13,3724598710.13,3724598710.31,3617697847.57,44.36831,-124.95276,0.0,34.1237132741,29,29,internal_timestamp,522.530029297,29,29,567374,1408709047,5.12869977951,29,29,3617697847.57
"('23',)",33.0975990295,1,0,1029.35951634,29,29,1,3.30975990295,29,13,3724598710.13,3724598710.31,3617697857.59,44.36831,-124.95276,0.0,34.1142201496,29,29,internal_timestamp,520.409973145,29,29,591236,1408709057,5.19670009613,29,29,3617697857.59
"('24',)",33.1007995605,1,0,1029.34891461,29,29,1,3.31007995605,29,13,3724598710.13,3724598710.31,3617697867.65,44.36831,-124.95276,0.0,34.1146494037,29,29,internal_timestamp,518.150024414,29,29,647521,1408709067,5.20100021362,29,29,3617697867.65
"('25',)",33.1029014587,1,0,1029.33675071,29,29,1,3.31029014587,29,13,3724598710.13,3724598710.31,3617697877.58,44.36831,-124.95276,0.0,34.114114599,29,29,internal_timestamp,515.710021973,29,29,576765,1408709077,5.20510005951,29,29,3617697877.58
"('26',)",33.1026000977,1,0,1029.32594937,29,29,1,3.31026000977,29,13,3724598710.13,3724598710.31,3617697887.6,44.36831,-124.95276,0.0,34.1146878658,29,29,internal_timestamp,513.270019531,29,29,601841,1408709087,5.20539999008,29,29,3617697887.6
"('27',)",33.1053009033,1,0,1029.31331207,29,29,1,3.31053009033,29,13,3724598710.13,3724598710.31,3617697897.57,44.36831,-124.95276,0.0,34.1138334099,29,29,internal_timestamp,510.809997559,29,29,573311,1408709097,5.21049976349,29,29,3617697897.57
