obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3659500870.23,2,33.3078994751,3724598981.53,3724598981.8,3659500870.23,0.0,internal_timestamp,575.210021973,227972,1450512070,5.40409994125,3.33078994751,34.1167404435,1029.58600145,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('1',)",3659500881.22,2,33.3069000244,3724598981.53,3724598981.8,3659500881.22,0.0,internal_timestamp,573.510009766,222664,1450512081,5.40360021591,3.33069000244,34.1169516484,1029.57843796,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('2',)",3659500892.23,2,33.3050994873,3724598981.53,3724598981.8,3659500892.23,0.0,internal_timestamp,571.640014648,228476,1450512092,5.40269994736,3.33050994873,34.11674072,1029.56981509,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('3',)",3659500903.22,2,33.3022003174,3724598981.53,3724598981.8,3659500903.22,0.0,internal_timestamp,569.590026855,223077,1450512103,5.40000009537,3.33022003174,34.1171892612,1029.56112355,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('4',)",3659500914.23,2,33.3004989624,3724598981.53,3724598981.8,3659500914.23,0.0,internal_timestamp,567.710021973,229923,1450512114,5.39879989624,3.33004989624,34.1173998652,1029.55282543,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('5',)",3659500925.23,2,33.3016014099,3724598981.53,3724598981.8,3659500925.23,0.0,internal_timestamp,566.039978027,225657,1450512125,5.40140008926,3.33016014099,34.1168530276,1029.54439138,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('6',)",3659500936.23,2,33.3012008667,3724598981.53,3724598981.8,3659500936.23,0.0,internal_timestamp,564.469970703,231136,1450512136,5.40189981461,3.33012008667,34.1166708361,1029.53698064,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('7',)",3659500947.23,2,33.3013000488,3724598981.53,3724598981.8,3659500947.23,0.0,internal_timestamp,562.869995117,225790,1450512147,5.40310001373,3.33013000488,34.1163637534,1029.52924138,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('8',)",3659500958.23,2,33.3019981384,3724598981.53,3724598981.8,3659500958.23,0.0,internal_timestamp,561.280029297,231818,1450512158,5.4046998024,3.33019981384,34.1163292182,1029.5217098,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('9',)",3659500969.23,2,33.3027000427,3724598981.53,3724598981.81,3659500969.23,0.0,internal_timestamp,559.659973145,229015,1450512169,5.40689992905,3.33027000427,34.1157066833,1029.51349761,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('10',)",3659500980.23,2,33.3059997559,3724598981.53,3724598981.81,3659500980.23,0.0,internal_timestamp,558.08001709,232201,1450512180,5.41149997711,3.33059997559,34.1155931299,1029.50555338,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('11',)",3659500991.24,2,33.3125991821,3724598981.53,3724598981.81,3659500991.24,0.0,internal_timestamp,556.570007324,240752,1450512191,5.42119979858,3.33125991821,34.114041165,1029.4961234,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('12',)",3659501002.23,2,33.3125991821,3724598981.53,3724598981.81,3659501002.23,0.0,internal_timestamp,555.140014648,234716,1450512202,5.42180013657,3.33125991821,34.1141438671,1029.48956533,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('13',)",3659501013.24,2,33.3152008057,3724598981.53,3724598981.81,3659501013.24,0.0,internal_timestamp,553.489990234,239947,1450512213,5.4264998436,3.33152008057,34.1131698475,1029.4806083,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('14',)",3659501024.24,2,33.3135986328,3724598981.53,3724598981.81,3659501024.24,0.0,internal_timestamp,551.729980469,235191,1450512224,5.42490005493,3.33135986328,34.1138388186,1029.47327255,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('15',)",3659501035.24,2,33.3148002625,3724598981.53,3724598981.81,3659501035.24,0.0,internal_timestamp,549.940002441,240627,1450512235,5.42780017853,3.33148002625,34.1131616496,1029.46414463,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('16',)",3659501046.25,2,33.313999176,3724598981.53,3724598981.81,3659501046.25,0.0,internal_timestamp,548.280029297,245680,1450512246,5.42719984055,3.3313999176,34.1136817544,1029.45701805,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('17',)",3659501057.24,2,33.3180999756,3724598981.53,3724598981.81,3659501057.24,0.0,internal_timestamp,546.739990234,242522,1450512257,5.43389987946,3.33180999756,34.112335836,1029.44800821,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('18',)",3659501068.25,2,33.3199996948,3724598981.53,3724598981.81,3659501068.25,0.0,internal_timestamp,545.260009766,251890,1450512268,5.43699979782,3.33199996948,34.1120969586,1029.44062095,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
