obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3692418870.65,4,3.61757993698,3716294610.02,3716294612.58,3692418870.65,0.0,internal_timestamp,68.5849990845,1483430070.65,33.5161018372,1,9.46030044556,1026.19837499,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('1',)",3692418870.71,4,3.61760997772,3716294610.02,3716294612.58,3692418870.71,0.0,internal_timestamp,68.5869979858,1483430070.71,33.5163993835,0,9.46030044556,1026.19861656,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('2',)",3692418870.78,4,3.61747002602,3716294610.02,3716294612.58,3692418870.78,0.0,internal_timestamp,68.5849990845,1483430070.78,33.5149993896,0,9.46030044556,1026.19751367,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('3',)",3692418870.84,4,3.61757993698,3716294610.02,3716294612.58,3692418870.84,0.0,internal_timestamp,68.5849990845,1483430070.84,33.5161018372,0,9.46030044556,1026.19837499,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('4',)",3692418870.9,4,3.61760997772,3716294610.02,3716294612.58,3692418870.9,0.0,internal_timestamp,68.5869979858,1483430070.9,33.5163993835,0,9.46030044556,1026.19861656,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('5',)",3692418870.96,4,3.61982011795,3716294610.02,3716294612.58,3692418870.96,0.0,internal_timestamp,68.5830001831,1483430070.96,33.5401992798,0,9.4593000412,1026.21735618,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('6',)",3692418871.03,4,3.62049007416,3716294610.02,3716294612.58,3692418871.03,0.0,internal_timestamp,68.5849990845,1483430071.03,33.5475997925,0,9.45870018005,1026.22324524,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('7',)",3692418871.09,4,3.61746001244,3716294610.02,3716294612.58,3692418871.09,0.0,internal_timestamp,68.5849990845,1483430071.09,33.5152015686,0,9.46000003815,1026.19772072,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('8',)",3692418871.15,4,3.61785006523,3716294610.02,3716294612.58,3692418871.15,0.0,internal_timestamp,68.5849990845,1483430071.15,33.5195007324,0,9.45969963074,1026.20112863,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('9',)",3692418871.22,4,3.61856007576,3716294610.02,3716294612.58,3692418871.22,0.0,internal_timestamp,68.5849990845,1483430071.22,33.5271987915,0,9.4591999054,1026.20722462,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('10',)",3692418871.28,4,3.6194601059,3716294610.02,3716294612.58,3692418871.28,0.0,internal_timestamp,68.5830001831,1483430071.28,33.5369987488,0,9.45870018005,1026.21495369,29,13,29,13,29,29,29,29,29,29,44.6389,-124.2990333
"('11',)",3692418871.34,4,3.62032008171,3716294610.02,3716294612.58,3692418871.34,0.0,internal_timestamp,68.5849990845,1483430071.34,33.5463981628,0,9.45820045471,1026.2223881,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('12',)",3692418871.4,4,3.62077999115,3716294610.02,3716294612.58,3692418871.4,0.0,internal_timestamp,68.5879974365,1483430071.4,33.5514984131,0,9.4577999115,1026.22645199,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('13',)",3692418871.47,4,3.62104988098,3716294610.02,3716294612.58,3692418871.47,0.0,internal_timestamp,68.5879974365,1483430071.47,33.554599762,0,9.45740032196,1026.22894035,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('14',)",3692418871.53,4,3.62119007111,3716294610.02,3716294612.58,3692418871.53,0.0,internal_timestamp,68.5859985352,1483430071.53,33.5563011169,0,9.45720005035,1026.23029323,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('15',)",3692418871.59,4,3.62125992775,3716294610.02,3716294612.58,3692418871.59,0.0,internal_timestamp,68.5889968872,1483430071.59,33.5570983887,0,9.45699977875,1026.23096253,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('16',)",3692418871.65,4,3.62128996849,3716294610.02,3716294612.59,3692418871.65,0.0,internal_timestamp,68.5899963379,1483430071.65,33.5574989319,0,9.45689964294,1026.23129639,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('17',)",3692418871.72,4,3.62130999565,3716294610.02,3716294612.59,3692418871.72,0.0,internal_timestamp,68.5859985352,1483430071.72,33.557800293,0,9.45689964294,1026.23151363,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('18',)",3692418871.78,4,3.62132000923,3716294610.02,3716294612.59,3692418871.78,0.0,internal_timestamp,68.5889968872,1483430071.78,33.5578994751,0,9.45689964294,1026.23160478,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('19',)",3692418871.84,4,3.62132000923,3716294610.02,3716294612.59,3692418871.84,0.0,internal_timestamp,68.591003418,1483430071.84,33.5577011108,0,9.45699977875,1026.23144258,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('20',)",3692418871.9,4,3.62133002281,3716294610.02,3716294612.59,3692418871.9,0.0,internal_timestamp,68.5869979858,1483430071.9,33.5574989319,0,9.45740032196,1026.23120089,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('21',)",3692418871.97,4,3.62135004997,3716294610.02,3716294612.59,3692418871.97,0.0,internal_timestamp,68.5879974365,1483430071.97,33.5570983887,0,9.45810031891,1026.23077809,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('22',)",3692418872.03,4,3.62138009071,3716294610.02,3716294612.59,3692418872.03,0.0,internal_timestamp,68.5879974365,1483430072.03,33.5564002991,0,9.45909976959,1026.2300693,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('23',)",3692418872.09,4,3.62140011787,3716294610.02,3716294612.59,3692418872.09,0.0,internal_timestamp,68.5889968872,1483430072.09,33.5555992126,0,9.46030044556,1026.2292517,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('24',)",3692418872.15,4,3.62143993378,3716294610.02,3716294612.59,3692418872.15,0.0,internal_timestamp,68.5869979858,1483430072.15,33.5547981262,0,9.46140003204,1026.22843694,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('25',)",3692418872.22,4,3.6214799881,3716294610.02,3716294612.59,3692418872.22,0.0,internal_timestamp,68.591003418,1483430072.22,33.5545005798,0,9.46220016479,1026.22809191,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('26',)",3692418872.28,4,3.62151002884,3716294610.02,3716294612.59,3692418872.28,0.0,internal_timestamp,68.5930023193,1483430072.28,33.554599762,0,9.46249961853,1026.22812955,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
