obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('0',)",31.4358997345,1,0,1040.76607551,29,29,2,3.14358997345,29,13,3746541020.26,3746541020.35,3659126822.83,44.52757,-125.38075,0.0,34.6438857741,29,29,internal_timestamp,2848.34008789,29,29,825726,1450138022,1.71099996567,29,29,3659126822.83
"('1',)",31.4347991943,1,0,1040.75332605,29,29,2,3.14347991943,29,13,3746541020.26,3746541020.35,3659126833.83,44.52757,-125.38075,0.0,34.643627615,29,29,internal_timestamp,2845.52001953,29,29,826781,1450138033,1.71119999886,29,29,3659126833.83
"('2',)",31.4335002899,1,0,1040.74035431,29,29,2,3.14335002899,29,13,3746541020.26,3746541020.35,3659126844.84,44.52757,-125.38075,0.0,34.6434826016,29,29,internal_timestamp,2842.62011719,29,29,836621,1450138044,1.71109998226,29,29,3659126844.84
"('3',)",31.4319992065,1,0,1040.72746457,29,29,2,3.14319992065,29,13,3746541020.26,3746541020.35,3659126855.83,44.52757,-125.38075,0.0,34.6432931607,29,29,internal_timestamp,2839.73999023,29,29,832087,1450138055,1.71080005169,29,29,3659126855.83
"('4',)",31.4309005737,1,0,1040.71508286,29,29,2,3.14309005737,29,13,3746541020.26,3746541020.35,3659126866.82,44.52757,-125.38075,0.0,34.6435849468,29,29,internal_timestamp,2836.88989258,29,29,822978,1450138066,1.71050000191,29,29,3659126866.82
"('5',)",31.4295005798,1,0,1040.70243692,29,29,2,3.14295005798,29,13,3746541020.26,3746541020.35,3659126877.83,44.52757,-125.38075,0.0,34.6433859131,29,29,internal_timestamp,2834.07006836,29,29,830132,1450138077,1.71029996872,29,29,3659126877.83
"('6',)",31.4286003113,1,0,1040.68948498,29,29,2,3.14286003113,29,13,3746541020.26,3746541020.35,3659126888.83,44.52757,-125.38075,0.0,34.6435376913,29,29,internal_timestamp,2831.12988281,29,29,826405,1450138088,1.71039998531,29,29,3659126888.83
"('7',)",31.4274997711,1,0,1040.67690474,29,29,2,3.14274997711,29,13,3746541020.26,3746541020.35,3659126899.83,44.52757,-125.38075,0.0,34.6436147542,29,29,internal_timestamp,2828.2800293,29,29,832060,1450138099,1.71029996872,29,29,3659126899.83
"('8',)",31.4262008667,1,0,1040.66392027,29,29,2,3.14262008667,29,13,3746541020.26,3746541020.35,3659126910.83,44.52757,-125.38075,0.0,34.6431192812,29,29,internal_timestamp,2825.44995117,29,29,829319,1450138110,1.71050000191,29,29,3659126910.83
"('9',)",31.4249000549,1,0,1040.65106508,29,29,2,3.14249000549,29,13,3746541020.26,3746541020.35,3659126921.84,44.52757,-125.38075,0.0,34.6429599658,29,29,internal_timestamp,2822.58007812,29,29,836410,1450138121,1.71039998531,29,29,3659126921.84
"('10',)",31.4239997864,1,0,1040.63861718,29,29,2,3.14239997864,29,13,3746541020.26,3746541020.35,3659126932.83,44.52757,-125.38075,0.0,34.6431729935,29,29,internal_timestamp,2819.73999023,29,29,833924,1450138132,1.71039998531,29,29,3659126932.83
"('11',)",31.4230003357,1,0,1040.62557645,29,29,2,3.14230003357,29,13,3746541020.26,3746541020.35,3659126943.83,44.52757,-125.38075,0.0,34.6429677444,29,29,internal_timestamp,2816.85009766,29,29,831320,1450138143,1.7107000351,29,29,3659126943.83
"('12',)",31.4218006134,1,0,1040.61288907,29,29,2,3.14218006134,29,13,3746541020.26,3746541020.35,3659126954.83,44.52757,-125.38075,0.0,34.643160847,29,29,internal_timestamp,2813.94995117,29,29,827778,1450138154,1.71039998531,29,29,3659126954.83
